title,venue,year,pages,author,url,month,comment,code
Collaborative Optimization of Wireless Communication and Computing Resource Allocation based on Multi-Agent Federated Weighting Deep Reinforcement Learning,arXiv/CoRR,2024,abs/2404.01638 (1): 1,"Junjie Wu, Xuming Fang",https://doi.org/10.48550/arXiv.2404.01638,,Informal and Other Publications,
Open-Vocabulary Federated Learning with Multimodal Prototyping,arXiv/CoRR,2024,abs/2404.01232 (1): 1,"Huimin Zeng, Zhenrui Yue, Dong Wang",https://doi.org/10.48550/arXiv.2404.01232,,Informal and Other Publications,
Computation and Communication Efficient Lightweighting Vertical Federated Learning,arXiv/CoRR,2024,abs/2404.00466 (1): 1,"Heqiang Wang, Jieming Bian, Lei Wang",https://doi.org/10.48550/arXiv.2404.00466,,Informal and Other Publications,
Adaptive Decentralized Federated Learning in Energy and Latency Constrained Wireless Networks,arXiv/CoRR,2024,abs/2403.20075 (1): 1,"Zhigang Yan, Dong Li",https://doi.org/10.48550/arXiv.2403.20075,,Informal and Other Publications,
Biased Over-the-Air Federated Learning under Wireless Heterogeneity,arXiv/CoRR,2024,abs/2403.19849 (1): 1,"Muhammad Faraz Ul Abrar, Nicolò Michelusi",https://doi.org/10.48550/arXiv.2403.19849,,Informal and Other Publications,
Client-supervised Federated Learning: Towards One-model-for-all Personalization,arXiv/CoRR,2024,abs/2403.19499 (1): 1,"Peng Yan, Guodong Long",https://doi.org/10.48550/arXiv.2403.19499,,Informal and Other Publications,
Enhancing Trust and Privacy in Distributed Networks: A Comprehensive Survey on Blockchain-based Federated Learning,arXiv/CoRR,2024,abs/2403.19178 (1): 1,"Ji Liu, Chunlu Chen, Yu Li, Lin Sun, Yulun Song, Jingbo Zhou, Bo Jing, Dejing Dou",https://doi.org/10.48550/arXiv.2403.19178,,Informal and Other Publications,
Random Aggregate Beamforming for Over-the-Air Federated Learning in Large-Scale Networks,arXiv/CoRR,2024,abs/2403.18946 (1): 1,"Chunmei Xu, Shengheng Liu, Yongming Huang, Björn E. Ottersten, Dusit Niyato",https://doi.org/10.48550/arXiv.2403.18946,,Informal and Other Publications,
Spikewhisper: Temporal Spike Backdoor Attacks on Federated Neuromorphic Learning over Low-power Devices,arXiv/CoRR,2024,abs/2403.18607 (1): 1,"Hanqing Fu, Gaolei Li, Jun Wu, Jianhua Li, Xi Lin, Kai Zhou, Yuchen Liu",https://doi.org/10.48550/arXiv.2403.18607,,Informal and Other Publications,
Stragglers-Aware Low-Latency Synchronous Federated Learning via Layer-Wise Model Updates,arXiv/CoRR,2024,abs/2403.18375 (1): 1,"Natalie Lang, Alejandro Cohen, Nir Shlezinger",https://doi.org/10.48550/arXiv.2403.18375,,Informal and Other Publications,
Leak and Learn: An Attacker&apos;s Cookbook to Train Using Leaked Data from Federated Learning,arXiv/CoRR,2024,abs/2403.18144 (1): 1,"Joshua C. Zhao, Ahaan Dabholkar, Atul Sharma, Saurabh Bagchi",https://doi.org/10.48550/arXiv.2403.18144,,Informal and Other Publications,
Empowering Data Mesh with Federated Learning,arXiv/CoRR,2024,abs/2403.17878 (1): 1,"Haoyuan Li, Salman Toor",https://doi.org/10.48550/arXiv.2403.17878,,Informal and Other Publications,
GPFL: A Gradient Projection-Based Client Selection Framework for Efficient Federated Learning,arXiv/CoRR,2024,abs/2403.17833 (1): 1,"Shijie Na, Yuzhi Liang, Siu-Ming Yiu",https://doi.org/10.48550/arXiv.2403.17833,,Informal and Other Publications,
Enhancing Privacy in Federated Learning through Local Training,arXiv/CoRR,2024,abs/2403.17572 (1): 1,"Nicola Bastianello, Changxin Liu, Karl Henrik Johansson",https://doi.org/10.48550/arXiv.2403.17572,,Informal and Other Publications,
FedMIL: Federated-Multiple Instance Learning for Video Analysis with Optimized DPP Scheduling,arXiv/CoRR,2024,abs/2403.17331 (1): 1,"Ashish Bastola, Hao Wang, Xiwen Chen, Abolfazl Razi",https://doi.org/10.48550/arXiv.2403.17331,,Informal and Other Publications,
Not All Federated Learning Algorithms Are Created Equal: A Performance Evaluation Study,arXiv/CoRR,2024,abs/2403.17287 (1): 1,"Gustav A. Baumgart, Jaemin Shin, Ali Payani, Myungjin Lee, Ramana Rao Kompella",https://doi.org/10.48550/arXiv.2403.17287,,Informal and Other Publications,
Accelerating Federated Learning by Selecting Beneficial Herd of Local Gradients,arXiv/CoRR,2024,abs/2403.16557 (1): 1,"Ping Luo, Xiaoge Deng, Ziqing Wen, Tao Sun, Dongsheng Li ",https://doi.org/10.48550/arXiv.2403.16557,,Informal and Other Publications,
Differentially Private Online Federated Learning with Correlated Noise,arXiv/CoRR,2024,abs/2403.16542 (1): 1,"Jiaojiao Zhang, Linglingzhi Zhu, Mikael Johansson",https://doi.org/10.48550/arXiv.2403.16542,,Informal and Other Publications,
FedAC: An Adaptive Clustered Federated Learning Framework for Heterogeneous Data,arXiv/CoRR,2024,abs/2403.16460 (1): 1,"Yuxin Zhang, Haoyu Chen, Zheng Lin, Zhe Chen, Jin Zhao ",https://doi.org/10.48550/arXiv.2403.16460,,Informal and Other Publications,
Rethinking the Representation in Federated Unsupervised Learning with Non-IID Data,arXiv/CoRR,2024,abs/2403.16398 (1): 1,"Xinting Liao, Weiming Liu, Chaochao Chen, Pengyang Zhou, Fengyuan Yu, Huabin Zhu, Binhui Yao, Tao Wang, Xiaolin Zheng, Yanchao Tan",https://doi.org/10.48550/arXiv.2403.16398,,Informal and Other Publications,
A General and Efficient Federated Split Learning with Pre-trained Image Transformers for Heterogeneous Data,arXiv/CoRR,2024,abs/2403.16050 (1): 1,"Yifan Shi, Yuhui Zhang, Ziyue Huang, Xiaofeng Yang, Li Shen, Wei Chen, Xueqian Wang",https://doi.org/10.48550/arXiv.2403.16050,,Informal and Other Publications,
Initialisation and Topology Effects in Decentralised Federated Learning,arXiv/CoRR,2024,abs/2403.15855 (1): 1,"Arash Badie Modiri, Chiara Boldrini, Lorenzo Valerio, János Kertész, Márton Karsai",https://doi.org/10.48550/arXiv.2403.15855,,Informal and Other Publications,
TablePuppet: A Generic Framework for Relational Federated Learning,arXiv/CoRR,2024,abs/2403.15839 (1): 1,"Lijie Xu, Chulin Xie, Yiran Guo, Gustavo Alonso, Bo Li, Guoliang Li, Wei Wang, Wentao Wu, Ce Zhang ",https://doi.org/10.48550/arXiv.2403.15839,,Informal and Other Publications,
An Upload-Efficient Scheme for Transferring Knowledge From a Server-Side Pre-trained Generator to Clients in Heterogeneous Federated Learning,arXiv/CoRR,2024,abs/2403.15760 (1): 1,"Jianqing Zhang, Yang Liu, Yang Hua, Jian Cao",https://doi.org/10.48550/arXiv.2403.15760,,Informal and Other Publications,
Federated Learning based on Pruning and Recovery,arXiv/CoRR,2024,abs/2403.15439 (1): 1,Chengjie Ma,https://doi.org/10.48550/arXiv.2403.15439,,Informal and Other Publications,
Federated Bayesian Deep Learning: The Application of Statistical Aggregation Methods to Bayesian Models,arXiv/CoRR,2024,abs/2403.15263 (1): 1,"John Fischer, Marko Orescanin, Justin Loomis, Patrick McClure",https://doi.org/10.48550/arXiv.2403.15263,,Informal and Other Publications,
Adaptive Coded Federated Learning: Privacy Preservation and Straggler Mitigation,arXiv/CoRR,2024,abs/2403.14905 (1): 1,"Chengxi Li, Ming Xiao, Mikael Skoglund",https://doi.org/10.48550/arXiv.2403.14905,,Informal and Other Publications,
FedSR: A Semi-Decentralized Federated Learning Algorithm for Non-IIDness in IoT System,arXiv/CoRR,2024,abs/2403.14718 (1): 1,"Jianjun Huang, Lixin Ye, Li Kang",https://doi.org/10.48550/arXiv.2403.14718,,Informal and Other Publications,
FHAUC: Privacy Preserving AUC Calculation for Federated Learning using Fully Homomorphic Encryption,arXiv/CoRR,2024,abs/2403.14428 (1): 1,"Cem Ata Baykara, Ali Burak Ünal, Mete Akgün",https://doi.org/10.48550/arXiv.2403.14428,,Informal and Other Publications,
Advancing IIoT with Over-the-Air Federated Learning: The Role of Iterative Magnitude Pruning,arXiv/CoRR,2024,abs/2403.14120 (1): 1,"Fazal Muhammad Ali Khan, Hatem Abou-Zeid, Aryan Kaushik, Syed Ali Hassan ",https://doi.org/10.48550/arXiv.2403.14120,,Informal and Other Publications,
Text-Enhanced Data-free Approach for Federated Class-Incremental Learning,arXiv/CoRR,2024,abs/2403.14101 (1): 1,"Minh-Tuan Tran, Trung Le, Xuan-May Thi Le, Mehrtash Harandi, Dinh Phung ",https://doi.org/10.48550/arXiv.2403.14101,,Informal and Other Publications,
When Cars meet Drones: Hyperbolic Federated Learning for Source-Free Domain Adaptation in Adverse Weather,arXiv/CoRR,2024,abs/2403.13762 (1): 1,"Giulia Rizzoli, Matteo Caligiuri, Donald Shenaj, Francesco Barbato, Pietro Zanuttigh",https://doi.org/10.48550/arXiv.2403.13762,,Informal and Other Publications,
Leveraging feature communication in federated learning for remote sensing image classification,arXiv/CoRR,2024,abs/2403.13575 (1): 1,"Anh-Kiet Duong, Hoàng-Ân Lê, Minh-Tan Pham",https://doi.org/10.48550/arXiv.2403.13575,,Informal and Other Publications,
Byzantine-resilient Federated Learning With Adaptivity to Data Heterogeneity,arXiv/CoRR,2024,abs/2403.13374 (1): 1,"Shiyuan Zuo, Xingrun Yan, Rongfei Fan, Han Hu, Hangguan Shan, Tony Q. S. Quek",https://doi.org/10.48550/arXiv.2403.13374,,Informal and Other Publications,
Federated reinforcement learning for robot motion planning with zero-shot generalization,arXiv/CoRR,2024,abs/2403.13245 (1): 1,"Zhenyuan Yuan, Siyuan Xu, Minghui Zhu",https://doi.org/10.48550/arXiv.2403.13245,,Informal and Other Publications,
Analyzing the Impact of Partial Sharing on the Resilience of Online Federated Learning Against Model Poisoning Attacks,arXiv/CoRR,2024,abs/2403.13108 (1): 1,"Ehsan Lari, Vinay Chakravarthi Gogineni, Reza Arablouei, Stefan Werner ",https://doi.org/10.48550/arXiv.2403.13108,,Informal and Other Publications,
AdaptSFL: Adaptive Split Federated Learning in Resource-constrained Edge Networks,arXiv/CoRR,2024,abs/2403.13101 (1): 1,"Zheng Lin, Guanqiao Qu, Wei Wei, Xianhao Chen, Kin K. Leung",https://doi.org/10.48550/arXiv.2403.13101,,Informal and Other Publications,
Federated Semi-supervised Learning for Medical Image Segmentation with intra-client and inter-client Consistency,arXiv/CoRR,2024,abs/2403.12695 (1): 1,"Yubin Zheng, Peng Tang, Tianjie Ju, Weidong Qiu, Bo Yan",https://doi.org/10.48550/arXiv.2403.12695,,Informal and Other Publications,
Improving LoRA in Privacy-preserving Federated Learning,arXiv/CoRR,2024,abs/2403.12313 (1): 1,"Youbang Sun, Zitao Li, Yaliang Li, Bolin Ding",https://doi.org/10.48550/arXiv.2403.12313,,Informal and Other Publications,
Mobile Application for Oral Disease Detection using Federated Learning,arXiv/CoRR,2024,abs/2403.12044 (1): 1,"Shankara Narayanan V, Sneha Varsha M, Syed Ashfaq Ahmed, Guruprakash J",https://doi.org/10.48550/arXiv.2403.12044,,Informal and Other Publications,
Efficient and Privacy-Preserving Federated Learning based on Full Homomorphic Encryption,arXiv/CoRR,2024,abs/2403.11519 (1): 1,"Yuqi Guo, Lin Li, Zhongxiang Zheng, Hanrui Yun, Ruoyan Zhang, Xiaolin Chang, Zhixuan Gao",https://doi.org/10.48550/arXiv.2403.11519,,Informal and Other Publications,
FedSPU: Personalized Federated Learning for Resource-constrained Devices with Stochastic Parameter Update,arXiv/CoRR,2024,abs/2403.11464 (1): 1,"Ziru Niu, Hai Dong, A. Kai Qin",https://doi.org/10.48550/arXiv.2403.11464,,Informal and Other Publications,
Fed3DGS: Scalable 3D Gaussian Splatting with Federated Learning,arXiv/CoRR,2024,abs/2403.11460 (1): 1,Teppei Suzuki,https://doi.org/10.48550/arXiv.2403.11460,,Informal and Other Publications,
Federated Transfer Learning with Differential Privacy,arXiv/CoRR,2024,abs/2403.11343 (1): 1,"Mengchu Li, Ye Tian, Yang Feng, Yi Yu",https://doi.org/10.48550/arXiv.2403.11343,,Informal and Other Publications,
FAGH: Accelerating Federated Learning with Approximated Global Hessian,arXiv/CoRR,2024,abs/2403.11041 (1): 1,"Mrinmay Sen, A. Kai Qin, Krishna Mohan C",https://doi.org/10.48550/arXiv.2403.11041,,Informal and Other Publications,
Enhancing IoT Security Against DDoS Attacks through Federated Learning,arXiv/CoRR,2024,abs/2403.10968 (1): 1,"Ghazaleh Shirvani, Saeid Ghasemshirazi, Mohammad Ali Alipour",https://doi.org/10.48550/arXiv.2403.10968,,Informal and Other Publications,
FedQNN: Federated Learning using Quantum Neural Networks,arXiv/CoRR,2024,abs/2403.10861 (1): 1,"Nouhaila Innan, Muhammad Al-Zafar Khan, Alberto Marchisio, Muhammad Shafique, Mohamed Bennai",https://doi.org/10.48550/arXiv.2403.10861,,Informal and Other Publications,
Securing Federated Learning with Control-Flow Attestation: A Novel Framework for Enhanced Integrity and Resilience against Adversarial Attacks,arXiv/CoRR,2024,abs/2403.10005 (1): 1,Zahir Alsulaimawi,https://doi.org/10.48550/arXiv.2403.10005,,Informal and Other Publications,
Federated Learning with Anomaly Detection via Gradient and Reconstruction Analysis,arXiv/CoRR,2024,abs/2403.10000 (1): 1,Zahir Alsulaimawi,https://doi.org/10.48550/arXiv.2403.10000,,Informal and Other Publications,
Defense via Behavior Attestation against Attacks in Connected and Automated Vehicles based Federated Learning Systems,arXiv/CoRR,2024,abs/2403.09531 (1): 1,"Godwin Badu-Marfo, Ranwa Al Mallah, Bilal Farooq",https://doi.org/10.48550/arXiv.2403.09531,,Informal and Other Publications,
DA-PFL: Dynamic Affinity Aggregation for Personalized Federated Learning,arXiv/CoRR,2024,abs/2403.09284 (1): 1,"Xu Yang, Jiyuan Feng, Songyue Guo, Ye Wang, Ye Ding, Binxing Fang, Qing Liao ",https://doi.org/10.48550/arXiv.2403.09284,,Informal and Other Publications,
Fairness-Aware Multi-Server Federated Learning Task Delegation over Wireless Networks,arXiv/CoRR,2024,abs/2403.09153 (1): 1,"Yulan Gao, Chao Ren, Han Yu ",https://doi.org/10.48550/arXiv.2403.09153,,Informal and Other Publications,
Metadata-Driven Federated Learning of Connectional Brain Templates in Non-IID Multi-Domain Scenarios,arXiv/CoRR,2024,abs/2403.09139 (1): 1,"Geng Chen, Qingyue Wang, Islem Rekik",https://doi.org/10.48550/arXiv.2403.09139,,Informal and Other Publications,
Learning from straggler clients in federated learning,arXiv/CoRR,2024,abs/2403.09086 (1): 1,"Andrew Hard, Antonious M. Girgis, Ehsan Amid, Sean Augenstein, Lara McConnaughey, Rajiv Mathews, Rohan Anil",https://doi.org/10.48550/arXiv.2403.09086,,Informal and Other Publications,
Taming Cross-Domain Representation Variance in Federated Prototype Learning with Heterogeneous Data Domains,arXiv/CoRR,2024,abs/2403.09048 (1): 1,"Lei Wang, Jieming Bian, Letian Zhang, Chen Chen, Jie Xu",https://doi.org/10.48550/arXiv.2403.09048,,Informal and Other Publications,
Federated Deep Q-Learning and 5G load balancing,arXiv/CoRR,2024,abs/2403.08813 (1): 1,"Hsin Lin, Yi-Kang Su, Hong-Qi Chen, La-Fei Ko",https://doi.org/10.48550/arXiv.2403.08813,,Informal and Other Publications,
DiPrompT: Disentangled Prompt Tuning for Multiple Latent Domain Generalization in Federated Learning,arXiv/CoRR,2024,abs/2403.08506 (1): 1,"Sikai Bai, Jie Zhang, Shuaicheng Li, Song Guo, Jingcai Guo, Jun Hou, Tao Han, Xiaocheng Lu",https://doi.org/10.48550/arXiv.2403.08506,,Informal and Other Publications,
"RAF-GI: Towards Robust, Accurate and Fast-Convergent Gradient Inversion Attack in Federated Learning",arXiv/CoRR,2024,abs/2403.08383 (1): 1,"Can Liu, Jin Wang, Dongyang Yu",https://doi.org/10.48550/arXiv.2403.08383,,Informal and Other Publications,
Decoupled Federated Learning on Long-Tailed and Non-IID data with Feature Statistics,arXiv/CoRR,2024,abs/2403.08364 (1): 1,"Zhuoxin Chen, Zhenyu Wu, Yang Ji",https://doi.org/10.48550/arXiv.2403.08364,,Informal and Other Publications,
MGIC: A Multi-Label Gradient Inversion Attack based on Canny Edge Detection on Federated Learning,arXiv/CoRR,2024,abs/2403.08284 (1): 1,"Can Liu, Jin Wang",https://doi.org/10.48550/arXiv.2403.08284,,Informal and Other Publications,
Efficient Language Model Architectures for Differentially Private Federated Learning,arXiv/CoRR,2024,abs/2403.08100 (1): 1,"Jae Hun Ro, Srinadh Bhojanapalli, Zheng Xu, Yanxiang Zhang, Ananda Theertha Suresh",https://doi.org/10.48550/arXiv.2403.08100,,Informal and Other Publications,
Federated Learning of Socially Appropriate Agent Behaviours in Simulated Home Environments,arXiv/CoRR,2024,abs/2403.07586 (1): 1,"Saksham Checker, Nikhil Churamani, Hatice Gunes",https://doi.org/10.48550/arXiv.2403.07586,,Informal and Other Publications,
Measuring Data Similarity for Efficient Federated Learning: A Feasibility Study,arXiv/CoRR,2024,abs/2403.07450 (1): 1,"Fernanda Famá, Charalampos Kalalas, Sandra Lagén, Paolo Dini",https://doi.org/10.48550/arXiv.2403.07450,,Informal and Other Publications,
A Survey on Federated Learning in Intelligent Transportation Systems,arXiv/CoRR,2024,abs/2403.07444 (1): 1,"Rongqing Zhang, Hanqiu Wang, Bing Li, Xiang Cheng, Liuqing Yang ",https://doi.org/10.48550/arXiv.2403.07444,,Informal and Other Publications,
Don&apos;t Forget What I did?: Assessing Client Contributions in Federated Learning,arXiv/CoRR,2024,abs/2403.07151 (1): 1,"Bishwamittra Ghosh, Debabrota Basu, Huazhu Fu, Yuan Wang, Renuga Kanagavelu, Jiang Jin Peng, Yong Liu, Rick Siow Mong Goh, Qingsong Wei",https://doi.org/10.48550/arXiv.2403.07151,,Informal and Other Publications,
"Dynamic Client Clustering, Bandwidth Allocation, and Workload Optimization for Semi-synchronous Federated Learning",arXiv/CoRR,2024,abs/2403.06900 (1): 1,"Liangkun Yu, Xiang Sun, Rana Albelaihi, Chaeeun Park, Sihua Shao",https://doi.org/10.48550/arXiv.2403.06900,,Informal and Other Publications,
Adaptive Federated Learning Over the Air,arXiv/CoRR,2024,abs/2403.06528 (1): 1,"Chenhao Wang, Zihan Chen, Nikolaos Pappas, Howard H. Yang, Tony Q. S. Quek, H. Vincent Poor",https://doi.org/10.48550/arXiv.2403.06528,,Informal and Other Publications,
Fake or Compromised? Making Sense of Malicious Clients in Federated Learning,arXiv/CoRR,2024,abs/2403.06319 (1): 1,"Hamid Mozaffari, Sunav Choudhary, Amir Houmansadr",https://doi.org/10.48550/arXiv.2403.06319,,Informal and Other Publications,
